feature,coef,lower,upper
race_source_value_0,0.48480495328731965,0.4445145981768303,0.5253015860361078
race_source_value_1,1.107836094324414,1.0722586385531363,1.1324979618755577
race_source_value_2,0.5050263863897334,0.48848074398360597,0.5137138607120799
race_source_value_3,0.23467456098206477,0.2069462566857273,0.24808855691755347
race_source_value_4,0.2915119807785977,0.27538166015086774,0.30492898919325956
race_source_value_5,0.03703043878893134,0.02567132852492627,0.04562349747203255
ethnicity_source_value_0,0.012416160871348,-0.027492604737929187,0.03587773858627297
ethnicity_source_value_1,0.21078408048174657,0.20332506150865953,0.22099210517464812
agegrp_at_event_0,0.6096949609121158,0.4015067870078411,0.725507398422325
agegrp_at_event_1,0.5405075995271669,0.5289203422036196,0.5548425739583468
agegrp_at_event_2,0.5483850230392142,0.533152137309343,0.5602796481704096
agegrp_at_event_3,0.2294871246990734,0.21571019705439654,0.24232892681881568
agegrp_at_event_4,0.19273924539645224,0.17989502098047833,0.19898667234860462
agegrp_at_event_5,0.044442593762530465,0.035824434793034654,0.05516974376335259
los7up_ind,1.4501047104388483,1.436789057268776,1.4643561600215853
delivery_type_0,0.9910491436721343,0.9781662998918328,0.996469212147628
bed_size_0,-9.66495181120845,-11.165862150167705,-9.001523281089856
bed_size_1,1.6451801057130697,1.5980113148337352,1.672066666294359
bed_size_2,1.131623091574789,1.1084238566636118,1.1507118509812928
bed_size_3,0.3887293167304293,0.3600234393118239,0.41000069252258775
bed_size_4,0.171334225209961,0.14540553383989602,0.19636490882585472
bed_size_5,0.7010706072639932,0.6868623341429378,0.7110762831122066
speciality_0,-2.1008835297399537,-2.1692788686536524,-2.005352075804797
speciality_1,-1.4697484870039075,-1.510694021174694,-1.412352883351775
speciality_2,-0.46805645772626314,-0.4829936492017476,-0.4499032891703215
speciality_3,-0.8083854764503398,-0.833184876483849,-0.7749478217622412
segment_0,0.34474115701898767,0.32022226362113315,0.3671227617646428
zip_code_0,-0.5053779409065255,-0.5439998943893805,-0.47309056352111895
zip_code_1,-0.7819162136482634,-0.8070829319724282,-0.7517246971083203
zip_code_2,0.04540749503728608,0.025925340194544393,0.06237608269018359
zip_code_3,-0.45518820332974774,-0.47207796979248207,-0.44072266960696677
zip_code_4,-0.26270628561136156,-0.2833011884494414,-0.24693298637688532
zip_code_5,-0.3341349000749077,-0.34840253917967867,-0.30956893394373663
zip_code_6,0.07193370404624318,0.049267209015281845,0.08307736862318074
zip_code_7,-0.6123196458470359,-0.6240569607017976,-0.6028809751683939
zip_code_8,-1.0503543784921607,-1.0702320535683572,-1.033010901248454
