outcome,var,encoded,coef,odds_ratio,conf_lower,conf_upper,pval
death_ind,race_source_value_ohe,0,0.4055739960515484,1.500163340807837,0.6218272122329956,3.6191565837432065,0.3667171357728949
death_ind,race_source_value_ohe,1,1.9035187363201613,6.709461781195199,5.287158178685032,8.51438066952542,0.0
death_ind,race_source_value_ohe,2,-0.8965680481515702,0.40796738432569746,0.23031157166762542,0.7226618509370679,0.00211579928443717
death_ind,race_source_value_ohe,3,-0.9859637925617086,0.3730794823749026,0.20543492847870007,0.6775298689461009,0.0012001985008152083
death_ind,race_source_value_ohe,4,0.31576689640417716,1.3713105609437546,1.1172720874321784,1.683110744203592,0.0025206221506941517
death_ind,race_source_value_ohe,5,-0.6314758052801371,0.5318063789223973,0.39830333337099033,0.710056886215231,1.854699494341361e-05
death_ind,ethnicity_source_value_ohe,0,0.5354127813067713,1.7081531904556038,1.2584091168848694,2.3186317413898743,0.0005940216434301426
death_ind,ethnicity_source_value_ohe,1,-0.6605288934853331,0.5165780474642356,0.4324532769125838,0.6170675385491501,3.255173908200959e-13
death_ind,bed_size_ohe,0,2.203355266278965,9.05534568071232,5.70366124865541,14.376605100193474,0.0
death_ind,bed_size_ohe,1,0.9837577813554977,2.674487521791859,1.9612044693516573,3.6471890697786282,5.103184541610517e-10
death_ind,bed_size_ohe,2,0.009291300406098746,1.0093345985324564,0.6361853766279554,1.6013513815650768,0.9685272266740015
death_ind,bed_size_ohe,3,-0.2859355603279304,0.7513110286233275,0.45526739521696946,1.2398609425171565,0.2632358176559606
death_ind,bed_size_ohe,4,0.15065506868905618,1.1625955732972517,0.9206571667074558,1.4681126872494692,0.20567041126269947
death_ind,bed_size_ohe,5,0.4543186759366671,1.5750998639288722,1.3495524417308125,1.8383424790569276,8.321071831574045e-09
death_ind,speciality_ohe,0,-18.82007070047253,6.707290951653172e-09,0.0,inf,0.9973610202108816
death_ind,speciality_ohe,1,1.0302249022202463,2.8016958714700375,1.916214937292114,4.096356626519529,1.0632546132427478e-07
death_ind,speciality_ohe,2,0.6811233018268213,1.9760962384857714,1.6482184616984987,2.3691982795372493,1.8629542353210127e-13
death_ind,speciality_ohe,3,-0.0006098738991522495,0.9993903120361333,0.8125109775034692,1.22925230974792,0.9953928760629405
death_ind,segment_ohe,0,0.08480912918796973,1.088509282218434,0.9011561794422397,1.3148136632753724,0.37884104974211397
death_ind,zip_code_ohe,0,1.3576023664628512,3.8868628480418232,2.781724213565819,5.431057013420331,1.7763568394002505e-15
death_ind,zip_code_ohe,1,1.5181720092982183,4.563874844505906,3.5259163263479856,5.907387376344145,0.0
