feature,coef,lower,upper
race_source_value_0,0.6255207737043842,0.5534455708169495,0.7005791472924321
race_source_value_1,0.6797974256868577,0.6352454616357102,0.7211800818051175
race_source_value_2,0.3668204378443483,0.3231069379239966,0.3970171547004577
race_source_value_3,0.4205535701859141,0.40397659433769695,0.4500361943389363
race_source_value_4,0.31616613930679516,0.2940824208249989,0.3273224812819342
race_source_value_5,0.15076422572192355,0.12439546477444392,0.17187541349155977
ethnicity_source_value_0,0.044427323139148225,0.010287533805779455,0.07318416815448739
ethnicity_source_value_1,0.22177678427099506,0.2076604222816468,0.23407456310750618
agegrp_at_event_0,0.3475362057252057,0.3130121677394168,0.38782873474211166
agegrp_at_event_1,0.3612309709334724,0.3486406347798713,0.38607347881930687
agegrp_at_event_2,0.2166247897998408,0.19643627309139922,0.24539663989575167
agegrp_at_event_3,0.0990431361574994,0.0823840553318392,0.11661206249170222
agegrp_at_event_4,-0.0901431061911799,-0.11228034495418218,-0.06024659971534681
los7up_ind,2.2491478796022952,2.231625845781502,2.2650243481497228
delivery_type_0,1.5545766645595438,1.5451380236973105,1.5688403636031634
bed_size_0,-10.222018303667312,-11.241031626340519,-8.682422414768594
bed_size_1,0.6525457534425843,0.580520989239558,0.7113689555603548
bed_size_2,0.8850622360338275,0.8104058147767326,0.9412121168471468
bed_size_3,0.5618795302299804,0.5041742778858173,0.5949931653426601
bed_size_4,0.37595606215922106,0.3642981439666063,0.4085670547241289
bed_size_5,0.7734622157096249,0.7576318090683147,0.7893979012064021
speciality_0,-1.6603088701909616,-2.050424556378543,-1.493657418984144
speciality_1,-1.5560970437288462,-1.7065511450693607,-1.495612835617712
speciality_2,-0.3444017675826556,-0.3624893070173763,-0.3268725454784479
speciality_3,-0.9813339480654064,-1.0393433615214467,-0.9357508439266227
segment_0,0.6036938364026867,0.5523111832741492,0.6535633339265596
zip_code_region_0,-0.34650736681933475,-0.36900661500904675,-0.3354446833032727
zip_code_region_1,0.0550579346686814,0.0325136352115831,0.07867093386651486
zip_code_region_2,0.06501671535717202,0.05155439951078329,0.07577087955563566
