SMMANY_IND,var,mean,stddev,min,max
1,age_at_event,29.54559476513204,6.757986948761891,12.0,55.0
0,age_at_event,28.868044038592014,5.865668287307554,10.0,55.0
1,los,51.71348445898575,1158.3166379898273,0.0,29917.0
0,los,161.17817107659454,2141.858764957404,0.0,31530.0
1,los2up_ind,0.9635896237438654,0.18731337562209377,0.0,1.0
0,los2up_ind,0.8716992862198218,0.33442444003813276,0.0,1.0
1,los3up_ind,0.7462491236270157,0.4351668878219756,0.0,1.0
0,los3up_ind,0.40791486387363757,0.4914473207690329,0.0,1.0
1,los4up_ind,0.44547791540079457,0.49703006836816765,0.0,1.0
0,los4up_ind,0.14995706079220059,0.35702943202475196,0.0,1.0
1,los5up_ind,0.24585183454078055,0.43060118019108184,0.0,1.0
0,los5up_ind,0.061773333668963586,0.2407434793400539,0.0,1.0
1,los6up_ind,0.15162421126431408,0.35866463786890296,0.0,1.0
0,los6up_ind,0.0333140345937225,0.1794553664430738,0.0,1.0
1,los7up_ind,0.10853003038093012,0.31105591979810526,0.0,1.0
0,los7up_ind,0.023440651107082246,0.15129838195864398,0.0,1.0
1,hist_HEP_since_index,-661.2407407407408,1018.4357441832776,-6410.0,-1.0
0,hist_HEP_since_index,-649.5767864605098,938.1540193445446,-11066.0,-1.0
1,hist_IHD_since_index,-820.8301886792453,869.4238307825798,-4309.0,-6.0
0,hist_IHD_since_index,-892.6362068965517,1078.7979847243382,-8857.0,-1.0
1,hist_AST_since_index,-1335.9080318822807,1476.8274091594628,-10377.0,-1.0
0,hist_AST_since_index,-1401.852412688477,1510.4397332487563,-13867.0,-1.0
1,hist_LIV_since_index,-1020.8913043478261,954.8776281590849,-3880.0,-1.0
0,hist_LIV_since_index,-1312.2767458264755,1061.7941240290936,-8567.0,-1.0
1,hist_AFIB_since_index,-755.7179487179487,827.425364696448,-2952.0,-1.0
0,hist_AFIB_since_index,-924.7264325323475,1137.5091013345339,-9593.0,-1.0
1,hist_STR_since_index,-2319.0666666666666,1604.5516715477463,-7142.0,-406.0
0,hist_STR_since_index,-1900.1365853658538,1319.7107622399822,-11533.0,-1.0
1,hist_CKD_since_index,-570.9555555555555,830.4394113841329,-4453.0,-1.0
0,hist_CKD_since_index,-841.9275184275184,1017.1506182051127,-6915.0,-1.0
1,hist_COPD_since_index,-2622.8277777777776,1634.3860980340817,-10377.0,-2.0
0,hist_COPD_since_index,-2519.5303666530112,1678.4853248731781,-13867.0,-1.0
1,hist_HTN_since_index,-1027.597532767926,1149.5085563963742,-6725.0,-1.0
0,hist_HTN_since_index,-1047.280720430417,1093.3054520990506,-14295.0,-1.0
1,hist_HF_since_index,-812.625,1508.8763132620925,-7970.0,-2.0
0,hist_HF_since_index,-884.9453125,1101.552227899043,-8537.0,-1.0
1,hist_AIDS_since_index,-801.8461538461538,854.5132967713108,-2883.0,-7.0
0,hist_AIDS_since_index,-814.6423118865866,1176.9732695179255,-10441.0,-1.0
1,hist_PVD_since_index,-1834.1944444444443,1328.2221591165592,-4773.0,-95.0
0,hist_PVD_since_index,-1973.9038607115822,1484.3283066124022,-8765.0,-1.0
1,hist_RA_since_index,-1467.4770642201836,1304.14153398808,-5293.0,-1.0
0,hist_RA_since_index,-1377.2067857859868,1327.1619435092782,-10756.0,-1.0
1,hist_AD_since_index,-674.2616033755274,817.5963577187986,-4457.0,-1.0
0,hist_AD_since_index,-580.3073599874323,685.7131181941185,-7725.0,-1.0
1,hist_DM_since_index,-847.6244604316547,1012.3535201860573,-5178.0,-1.0
0,hist_DM_since_index,-916.3866708802977,1168.3644149568142,-11667.0,-1.0
1,hist_COVID_since_index,-297.7852257181942,338.0843561761038,-1502.0,-1.0
0,hist_COVID_since_index,-308.8645518495734,333.8962908712477,-8512.0,-1.0
1,hist_SUB_since_index,,,,
0,hist_SUB_since_index,-1313.7209302325582,1337.0005756593375,-4869.0,-8.0
1,hist_ALC_since_index,,,,
0,hist_ALC_since_index,-2600.5,1685.9609524936614,-3741.0,-110.0
1,death_ind,0.004066370647347511,0.06363980338451043,0.0,1.0
0,death_ind,0.0004390512044930744,0.020948954519056314,0.0,1.0
1,SMMANY_ind,1.0,9.620228712335552e-17,1.0,1.0
0,SMMANY_ind,0.0,0.0,0.0,0.0
1,SMMANY90PCT_ind,0.44547791540079457,0.49703006836816754,0.0,1.0
0,SMMANY90PCT_ind,0.0,0.0,0.0,0.0
1,COCR_ind,0.010750175274596869,0.10312665072558921,0.0,1.0
0,COCR_ind,0.0,0.0,0.0,0.0
1,BPT_ind,0.8885720962841785,0.31466864159471103,0.0,1.0
0,BPT_ind,0.0,0.0,0.0,0.0
1,HYS_ind,0.09156344940406637,0.28841545056366175,0.0,1.0
0,HYS_ind,0.0,0.0,0.0,0.0
1,TT_ind,0.0032250525823790607,0.05669922290220667,0.0,1.0
0,TT_ind,0.0,0.0,0.0,0.0
1,VEN_ind,0.06828698293993923,0.25224362194669314,0.0,1.0
0,VEN_ind,0.0,0.0,0.0,0.0
1,death_since_index,9436.697592895536,13045.408751444345,1.0,30841.0
0,death_since_index,8124.237241611048,12398.413849841954,1.0,36672.0
1,SMMANY_since_index,16.244356157980835,60.998503662779804,0.0,365.0
0,SMMANY_since_index,8124.169364880236,12398.449702345906,1.0,36672.0
1,SMMANY90PCT_since_index,5007.93358261276,10569.979633737898,0.0,30808.0
0,SMMANY90PCT_since_index,8124.169364880236,12398.449702345906,1.0,36672.0
